label_binary,label_name,anomaly_score,lstm_predicted
1,read_attack,93.670235,1
1,read_attack,47.570118,1
1,read_attack,0.6351696,1
1,read_attack,0.73601943,1
1,read_attack,0.6762861,1
1,read_attack,29.397837,1
1,read_attack,30.991404,1
1,read_attack,31.669111,1
1,read_attack,31.492102,1
1,read_attack,3.6727006,1
1,read_attack,46.977802,1
1,read_attack,71.46836,1
1,read_attack,93.89563,1
1,read_attack,92.6465,1
1,read_attack,52877.05,1
1,read_attack,52852.043,1
1,read_attack,52829.89,1
1,read_attack,52830.79,1
1,read_attack,37.659172,1
1,recognition_attack,40.113003,1
1,recognition_attack,40.342644,1
1,read_attack,39.070454,1
1,recognition_attack,4.8871264,1
1,recognition_attack,5.61486,1
1,recognition_attack,63.97557,1
1,recognition_attack,130788.09,1
1,recognition_attack,130829.516,1
1,recognition_attack,130828.53,1
1,recognition_attack,288943.38,1
1,recognition_attack,158219.86,1
1,read_attack,158170.3,1
1,read_attack,158168.02,1
1,read_attack,0.60325474,1
1,read_attack,202642.23,1
1,read_attack,255484.62,1
1,recognition_attack,255683.31,1
1,recognition_attack,255683.14,1
1,recognition_attack,105538.51,1
1,recognition_attack,228150.19,1
1,recognition_attack,227979.28,1
1,read_attack,228005.69,1
1,read_attack,175323.42,1
1,read_attack,27.475714,1
1,read_attack,105352.54,1
1,read_attack,158012.78,1
1,read_attack,158010.39,1
1,read_attack,158010.55,1
1,read_attack,210699.58,1
1,read_attack,341602.25,1
1,read_attack,341817.38,1
1,read_attack,341584.62,1
1,read_attack,183557.89,1
1,read_attack,0.4141021,1
1,read_attack,21.408733,1
1,recognition_attack,21.425869,1
1,recognition_attack,21.484308,1
1,recognition_attack,21.93593,1
1,recognition_attack,0.9240224,1
1,recognition_attack,78067.664,1
1,read_attack,288772.0,1
1,read_attack,288789.88,1
1,write_attack,438623.62,1
1,write_attack,466109.62,1
1,recognition_attack,255332.27,1
1,recognition_attack,255323.94,1
1,recognition_attack,105506.83,1
1,read_attack,51.4484,1
1,read_attack,51.09143,1
1,read_attack,49.821964,1
1,read_attack,49.773136,1
1,read_attack,0.59813416,1
1,read_attack,228026.4,1
1,read_attack,228175.56,1
1,recognition_attack,228019.47,1
1,recognition_attack,228037.89,1
1,recognition_attack,30.325558,1
1,recognition_attack,118583.04,1
1,recognition_attack,215703.03,1
1,recognition_attack,365507.8,1
1,write_attack,418440.8,1
1,recognition_attack,299613.7,1
1,recognition_attack,202486.72,1
1,recognition_attack,52680.56,1
1,read_attack,3.2784371,1
1,read_attack,1.24791,1
1,read_attack,0.45890814,1
1,read_attack,149979.52,1
1,read_attack,149977.2,1
1,read_attack,149973.52,1
1,read_attack,149971.6,1
1,read_attack,0.9173233,1
1,read_attack,0.47911143,1
1,read_attack,1.2878218,1
1,read_attack,2.0821724,1
1,read_attack,2.068692,1
1,recognition_attack,3.7200782,1
1,recognition_attack,3.284291,1
1,recognition_attack,3.251903,1
1,read_attack,3.2594905,1
1,read_attack,35.988316,1
1,recognition_attack,37.654526,1
1,recognition_attack,36.970234,1
1,recognition_attack,37.01427,1
1,read_attack,28.522524,1
1,read_attack,26.540995,1
1,read_attack,46.71425,1
1,read_attack,70.45498,1
1,read_attack,44.56651,1
1,read_attack,44.548374,1
1,read_attack,25.615358,1
1,read_attack,2.2784595,1
1,read_attack,1.8830001,1
1,read_attack,1.8550049,1
1,read_attack,1.0181836,1
1,read_attack,1.8515356,1
1,recognition_attack,1.8391192,1
1,recognition_attack,1.878191,1
