label_binary,label_name,anomaly_score,if_predicted,fc,error_binary,request_binary,madd,data
0,normal,0.5341003682010214,1,3,0,0,56,65535
0,normal,0.47559484957039033,0,3,0,0,58,0
0,normal,0.4376421328416048,0,3,0,0,8,0
0,normal,0.48128366985925325,0,3,0,0,26,0
0,normal,0.5119121930577977,0,3,0,0,5,0
0,normal,0.4798782324395551,0,3,0,0,53,65535
1,read_attack,0.5395003454004773,1,3,0,0,22,0
0,normal,0.42562307574736086,0,3,0,0,21,0
0,normal,0.5191270451913604,1,3,0,0,7,0
0,normal,0.4614799852645595,0,3,0,0,29,0
0,normal,0.4845420672969675,0,3,0,0,20,0
0,normal,0.49140013033224217,0,3,0,0,65,0
0,normal,0.42928985553801574,0,3,0,0,32,0
0,normal,0.505535116206731,0,3,0,0,43,65535
0,normal,0.47858393366495344,0,3,0,0,38,65535
0,normal,0.48714583297665903,0,3,0,0,50,65535
0,normal,0.48999483430999863,0,3,0,0,48,65535
1,read_attack,0.6315035991181609,1,3,0,0,88,30090
0,normal,0.5358775506569085,1,3,0,0,42,65535
0,normal,0.579637881704013,1,3,0,0,49,65535
0,normal,0.466415891928778,0,3,0,0,31,0
0,normal,0.5448038872482454,1,3,0,0,22,0
0,normal,0.5036648768674106,0,3,0,0,48,65535
0,normal,0.4499493124356339,0,3,0,0,42,65535
1,read_attack,0.40403718375575937,0,3,0,0,17,0
0,normal,0.5407218937581437,1,3,0,0,18,0
0,normal,0.48244839832207465,0,3,0,0,20,0
0,normal,0.5417487601991793,1,3,0,0,28,0
0,normal,0.4406879381760781,0,3,0,0,23,0
0,normal,0.4273215991620416,0,3,0,0,31,0
0,normal,0.498209930217308,0,3,0,0,4,0
0,normal,0.46691224381176977,0,3,0,0,25,0
0,normal,0.411314587529516,0,3,0,0,28,0
0,normal,0.5167199174108742,1,3,0,0,34,0
0,normal,0.5810790670010172,1,3,0,0,62,0
0,normal,0.5032418583352453,0,3,0,0,58,0
0,normal,0.49685494757885845,0,3,0,0,58,0
0,normal,0.46932283192740815,0,3,0,0,52,65535
0,normal,0.5296023126097249,1,3,0,0,68,0
0,normal,0.430285319866966,0,3,0,0,15,0
0,normal,0.5536433390593848,1,3,0,0,13,0
0,normal,0.49027704550279505,0,3,0,0,35,0
1,read_attack,0.5232536833693275,1,3,0,0,57,0
0,normal,0.7017250146716238,1,3,0,1,1,68
0,normal,0.5985921446929287,1,3,0,0,54,65535
0,normal,0.4997481395622974,0,3,0,0,2,0
0,normal,0.49084147992510563,0,3,0,0,33,0
0,normal,0.41218420303378783,0,3,0,0,15,0
0,normal,0.42581485474961106,0,3,0,0,19,0
0,normal,0.5063283555416415,0,3,0,0,57,0
1,read_attack,0.41349357135432807,0,3,0,0,18,0
0,normal,0.4778542663973393,0,3,0,0,40,65535
1,mitm_unaltered,0.5507538156792577,1,3,0,0,43,65535
0,normal,0.48793384344132285,0,3,0,0,47,65535
0,normal,0.6329216027990725,1,3,0,0,7,18254
0,normal,0.5677740582406894,1,3,0,0,36,0
0,normal,0.42683566337803236,0,3,0,0,10,0
1,read_attack,0.6127663609007689,1,3,0,0,95,18329
0,normal,0.5554728576799649,1,3,0,0,4,0
0,normal,0.7271082947808819,1,3,0,1,1,68
0,normal,0.5591834723987074,1,3,0,0,3,0
0,normal,0.5034531546973219,0,3,0,0,65,0
0,normal,0.49976645844757106,0,3,0,0,6,0
0,normal,0.4191050349654537,0,3,0,0,19,0
0,normal,0.4767781410993303,0,3,0,0,39,65535
0,normal,0.5342688213521535,1,3,0,0,5,0
0,normal,0.5173576315515253,1,3,0,0,62,0
1,mitm_unaltered,0.5055803254159421,0,3,0,0,8,0
0,normal,0.5555117518818861,1,3,0,0,61,0
0,normal,0.4537452639122422,0,3,0,0,42,65535
1,mitm_unaltered,0.5285606537705646,1,3,0,0,54,65535
1,mitm_unaltered,0.5348938429425185,1,3,0,0,38,65535
1,mitm_unaltered,0.597018826914153,1,3,0,0,1,0
1,read_attack,0.5993189598375845,1,3,0,0,123,17095
0,normal,0.47326677755712054,0,3,0,0,45,65535
0,normal,0.5164366613601954,1,3,0,0,66,0
0,normal,0.4029714471373299,0,3,0,0,29,0
0,normal,0.47922031624871936,0,3,0,0,46,65535
0,normal,0.5586291252173765,1,3,0,0,62,0
1,mitm_unaltered,0.5996640476165771,1,3,0,0,295,0
0,normal,0.4146375704936151,0,3,0,0,33,0
0,normal,0.5108482154264798,0,3,0,0,4,0
0,normal,0.5487530499788067,1,3,0,0,65,0
0,normal,0.4150469169521374,0,3,0,0,19,0
1,mitm_unaltered,0.5611911943738866,1,3,0,0,149,0
1,read_attack,0.6685416457309555,1,3,0,0,99,18074
0,normal,0.49506401696491353,0,3,0,0,11,0
0,normal,0.42023265576021435,0,3,0,0,15,0
0,normal,0.4222639341149924,0,3,0,0,20,0
1,read_attack,0.5095684808085402,0,3,0,0,41,65535
0,normal,0.40046257830524246,0,3,0,0,24,0
0,normal,0.428415448852237,0,3,0,0,11,0
0,normal,0.4349892474368742,0,3,0,0,17,0
0,normal,0.502548962226208,0,3,0,0,62,0
0,normal,0.4122397911715631,0,3,0,0,24,0
0,normal,0.40552284726549326,0,3,0,0,22,0
0,normal,0.5157154519287319,0,3,0,0,2,0
0,normal,0.4884591747929101,0,3,0,0,29,0
0,normal,0.4947423333183677,0,3,0,0,62,0
0,normal,0.5952357954043078,1,3,0,0,68,0
1,mitm_unaltered,0.4472442821849651,0,3,0,0,29,0
1,mitm_unaltered,0.5142419711465864,0,3,0,0,53,65535
0,normal,0.4877372163439444,0,3,0,0,38,65535
0,normal,0.4821649320171517,0,3,0,0,58,0
0,normal,0.7003484608234559,1,3,0,1,1,68
0,normal,0.4728474660693589,0,3,0,0,51,65535
0,normal,0.48540219603381923,0,3,0,0,43,65535
0,normal,0.5018509882080625,0,3,0,0,58,0
0,normal,0.46956274404466014,0,3,0,0,39,65535
0,normal,0.5142314208362305,0,3,0,0,62,0
0,normal,0.44617487297447017,0,3,0,0,19,0
0,normal,0.42694246367190763,0,3,0,0,19,0
0,normal,0.4274285743752543,0,3,0,0,35,0
0,normal,0.4139703719122117,0,3,0,0,33,0
0,normal,0.4771840037426559,0,3,0,0,38,65535
0,normal,0.41847110929230336,0,3,0,0,12,0
1,mitm_unaltered,0.5248625695212028,1,3,0,0,42,65535
1,mitm_unaltered,0.5257315136264613,1,3,0,0,57,0
0,normal,0.5867594360419307,1,3,0,0,3,0
0,normal,0.4382498626473918,0,3,0,0,8,0
0,normal,0.4443892081264577,0,3,0,0,27,0
0,normal,0.48304890769863223,0,3,0,0,53,65535
1,read_attack,0.6096422796355451,1,3,0,0,98,21620
0,normal,0.4337806708751298,0,3,0,0,35,0
0,normal,0.44927612850280163,0,3,0,0,11,0
0,normal,0.5109540766991898,0,3,0,0,41,65535
0,normal,0.5594146037432165,1,3,0,0,1,0
0,normal,0.451409271699594,0,3,0,0,35,0
0,normal,0.6060683949795662,1,3,0,0,56,65535
0,normal,0.49779738628189996,0,3,0,0,62,0
0,normal,0.45200554087454675,0,3,0,0,26,0
0,normal,0.5279644755654218,1,3,0,0,2,0
0,normal,0.40652167231334524,0,3,0,0,22,0
0,normal,0.4020722728417195,0,3,0,0,17,0
0,normal,0.4216658110682177,0,3,0,0,33,0
0,normal,0.46461197025972456,0,3,0,0,39,65535
0,normal,0.43260761878671167,0,3,0,0,24,0
0,normal,0.4783311884022046,0,3,0,0,21,0
0,normal,0.4917724699387736,0,3,0,0,38,65535
1,mitm_unaltered,0.4753711908395429,0,3,0,0,34,0
0,normal,0.5814851296002409,1,3,0,0,48,65535
0,normal,0.5311255689196372,1,3,0,0,11,0
0,normal,0.39992700159853783,0,3,0,0,23,0
0,normal,0.46207511432470993,0,3,0,0,40,65535
0,normal,0.4005118634960038,0,3,0,0,25,0
0,normal,0.5400917594751234,1,3,0,0,54,65535
0,normal,0.4096399019897944,0,3,0,0,21,0
1,mitm_unaltered,0.5443669466357794,1,3,0,0,36,0
0,normal,0.4678999853607176,0,3,0,0,49,65535
0,normal,0.5151293136726681,0,3,0,0,53,65535
0,normal,0.5046440568157889,0,3,0,0,3,0
0,normal,0.48662807312683926,0,3,0,0,46,65535
0,normal,0.40059897581892556,0,3,0,0,25,0
1,mitm_unaltered,0.578706438316452,1,3,0,0,162,0
0,normal,0.4296567942922454,0,3,0,0,8,0
0,normal,0.5011745660555187,0,3,0,0,37,65535
0,normal,0.46056524797986437,0,3,0,0,45,65535
0,normal,0.5027845971953766,0,3,0,0,49,65535
0,normal,0.5057735501108354,0,3,0,0,12,0
0,normal,0.4005785431542118,0,3,0,0,21,0
0,normal,0.48942480013386125,0,3,0,0,34,0
0,normal,0.5529794362208466,1,3,0,0,2,0
0,normal,0.4975825964292143,0,3,0,0,57,0
0,normal,0.47858586986390467,0,3,0,0,23,0
0,normal,0.5002891630916284,0,3,0,0,6,0
0,normal,0.4273490363017411,0,3,0,0,20,0
0,normal,0.5763489300689405,1,3,0,0,49,65535
0,normal,0.4235196144248501,0,3,0,0,21,0
0,normal,0.5012533009796025,0,3,0,0,63,0
0,normal,0.4228384923716315,0,3,0,0,22,0
0,normal,0.4528248206534699,0,3,0,0,45,65535
1,mitm_unaltered,0.4468356157774818,0,3,0,0,16,0
0,normal,0.5425542657590313,1,3,0,0,54,65535
0,normal,0.5399866276259748,1,3,0,0,3,0
0,normal,0.5082308722559415,0,3,0,0,20,0
0,normal,0.49090645839779457,0,3,0,0,63,0
0,normal,0.47572187031948926,0,3,0,0,59,0
0,normal,0.49083344872208473,0,3,0,0,64,0
0,normal,0.5945344854453233,1,3,0,0,42,65535
0,normal,0.5562369253671818,1,3,0,0,15,0
1,read_attack,0.5849540140945897,1,3,0,0,68,0
1,mitm_unaltered,0.5917424084337698,1,3,0,0,145,0
0,normal,0.45682919957397566,0,3,0,0,15,0
1,read_attack,0.5094206762283222,0,3,0,0,14,0
0,normal,0.5164296869679305,1,3,0,0,59,0
0,normal,0.6148876080325401,1,3,0,0,52,65535
0,normal,0.42259102451086583,0,3,0,0,31,0
0,normal,0.583196068635605,1,3,0,0,65,0
0,normal,0.4890151712742824,0,3,0,0,31,0
0,normal,0.42133352602993485,0,3,0,0,28,0
0,normal,0.4641223719460934,0,3,0,0,25,0
0,normal,0.4618216922424463,0,3,0,0,36,0
0,normal,0.5500075234935485,1,3,0,0,60,0
0,normal,0.42160795451530836,0,3,0,0,33,0
0,normal,0.5568643303160973,1,3,0,0,1,0
0,normal,0.4280109481277061,0,3,0,0,11,0
0,normal,0.4478643778834134,0,3,0,0,26,0
0,normal,0.531734155159288,1,3,0,0,65,0
0,normal,0.5129329178928619,0,3,0,0,52,65535
0,normal,0.4524823106874299,0,3,0,0,17,0
0,normal,0.5593491456420263,1,3,0,0,45,65535
0,normal,0.48818732322789654,0,3,0,0,53,65535
0,normal,0.5121503930313028,0,3,0,0,65,0
0,normal,0.4344855731830471,0,3,0,0,13,0
0,normal,0.5315220784049882,1,3,0,0,8,0
0,normal,0.4886728401134011,0,3,0,0,39,65535
0,normal,0.39807687254487095,0,3,0,0,21,0
